# Error log for MODE=sa_manual, PROJECT=libxml2_62911_vul
[ERR] 000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 097_testlimits.c_201_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/097_testlimits.c_201_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 098_testlimits.c_207_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/098_testlimits.c_207_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 098_testrecurse.c_692_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/098_testrecurse.c_692_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 099_runtest.c_3328_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/099_runtest.c_3328_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 099_testlimits.c_115_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/099_testlimits.c_115_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 100_runtest.c_3139_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/100_runtest.c_3139_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 100_testlimits.c_99_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/100_testlimits.c_99_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 107_testThreads.c_106_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/107_testThreads.c_106_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 108_runtest.c_2832_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/108_runtest.c_2832_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 109_parser.c_9351_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/109_parser.c_9351_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 109_testrecurse.c_307_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/109_testrecurse.c_307_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 110_relaxng.c_6691_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/110_relaxng.c_6691_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 111_relaxng.c_6654_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/111_relaxng.c_6654_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 111_testrecurse.c_316_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/111_testrecurse.c_316_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 112_relaxng.c_6623_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/112_relaxng.c_6623_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 114_nanohttp.c_1305_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/114_nanohttp.c_1305_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 115_runtest.c_2112_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/115_runtest.c_2112_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 121_nanohttp.c_1222_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/121_nanohttp.c_1222_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 122_nanohttp.c_1000_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/122_nanohttp.c_1000_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 123_uri.c_2569_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/123_uri.c_2569_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 124_nanohttp.c_1108_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/124_nanohttp.c_1108_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 124_runtest.c_1760_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/124_runtest.c_1760_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 125_runtest.c_1789_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/125_runtest.c_1789_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 126_nanohttp.c_671_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/126_nanohttp.c_671_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 126_runtest.c_1792_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/126_runtest.c_1792_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 127_libxml.c_3334_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/127_libxml.c_3334_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 127_uri.c_2347_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/127_uri.c_2347_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 128_libxml.c_3280_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/128_libxml.c_3280_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 128_uri.c_2350_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/128_uri.c_2350_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 131_libxml.c_3182_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/131_libxml.c_3182_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 133_testchar.c_812_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/133_testchar.c_812_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 134_nanohttp.c_518_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/134_nanohttp.c_518_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 134_testchar.c_821_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/134_testchar.c_821_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 135_testchar.c_827_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/135_testchar.c_827_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 137_runtest.c_769_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/137_runtest.c_769_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 138_threads.c_384_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/138_threads.c_384_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 139_runtest.c_732_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/139_runtest.c_732_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 140_nanohttp.c_541_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/140_nanohttp.c_541_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 140_threads.c_348_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/140_threads.c_348_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 141_libxml.c_3030_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/141_libxml.c_3030_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 141_runtest.c_737_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/141_runtest.c_737_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 142_nanohttp.c_365_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/142_nanohttp.c_365_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 142_tree.c_9331_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/142_tree.c_9331_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 143_testchar.c_608_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/143_testchar.c_608_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 144_runtest.c_650_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/144_runtest.c_650_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 145_tree.c_9356_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/145_tree.c_9356_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 146_runtest.c_670_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/146_runtest.c_670_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 147_runtest.c_671_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/147_runtest.c_671_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 148_runtest.c_680_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/148_runtest.c_680_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 149_runtest.c_605_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/149_runtest.c_605_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 150_tree.c_9438_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/150_tree.c_9438_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 155_runtest.c_343_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/155_runtest.c_343_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 158_uri.c_1035_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/158_uri.c_1035_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 160_dict.c_760_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/160_dict.c_760_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 160_xmlcatalog.c_128_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/160_xmlcatalog.c_128_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 161_dict.c_766_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/161_dict.c_766_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 161_xmlcatalog.c_144_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/161_xmlcatalog.c_144_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 162_dict.c_588_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/162_dict.c_588_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 162_xmlcatalog.c_80_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/162_xmlcatalog.c_80_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 163_xmlcatalog.c_86_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/163_xmlcatalog.c_86_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 164_dict.c_541_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/164_dict.c_541_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 164_libxml.c_1856_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/164_libxml.c_1856_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 165_libxml.c_1670_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/165_libxml.c_1670_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 165_valid.c_6881_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/165_valid.c_6881_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 166_dict.c_232_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/166_dict.c_232_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 167_dict.c_235_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/167_dict.c_235_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 168_dict.c_172_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/168_dict.c_172_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 169_xmlmodule.c_90_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/169_xmlmodule.c_90_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 170_tree.c_7880_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/170_tree.c_7880_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 171_tree.c_7765_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/171_tree.c_7765_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 172_tree.c_7775_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/172_tree.c_7775_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 173_tree.c_7785_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/173_tree.c_7785_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 174_relaxng.c_4269_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/174_relaxng.c_4269_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 175_xinclude.c_295_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/175_xinclude.c_295_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 176_xinclude.c_244_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/176_xinclude.c_244_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 177_tree.c_7471_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/177_tree.c_7471_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 178_tree.c_7491_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/178_tree.c_7491_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 179_tree.c_7492_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/179_tree.c_7492_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 180_tree.c_7426_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/180_tree.c_7426_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 181_tree.c_7339_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/181_tree.c_7339_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 182_tree.c_7367_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/182_tree.c_7367_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 183_tree.c_7141_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/183_tree.c_7141_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 184_tree.c_7148_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/184_tree.c_7148_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 185_xmlsave.c_2610_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/185_xmlsave.c_2610_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 187_xmlsave.c_2556_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/187_xmlsave.c_2556_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 189_xmlsave.c_2517_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/189_xmlsave.c_2517_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 190_xmlsave.c_2468_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/190_xmlsave.c_2468_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 192_xmlsave.c_2354_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/192_xmlsave.c_2354_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 194_xmlsave.c_2268_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/194_xmlsave.c_2268_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 195_xmlmemory.c_412_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/195_xmlmemory.c_412_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 195_xmlsave.c_2179_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/195_xmlsave.c_2179_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 196_xmlregexp.c_6035_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/196_xmlregexp.c_6035_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 197_xmlregexp.c_6037_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/197_xmlregexp.c_6037_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 198_relaxng.c_3683_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/198_relaxng.c_3683_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 201_xmlregexp.c_5862_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/201_xmlregexp.c_5862_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 202_xmlregexp.c_5864_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/202_xmlregexp.c_5864_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 204_xmlregexp.c_5792_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/204_xmlregexp.c_5792_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 205_xmlregexp.c_5794_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/205_xmlregexp.c_5794_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 206_xmlregexp.c_5730_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/206_xmlregexp.c_5730_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 207_libxml.c_349_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/207_libxml.c_349_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 207_xmlregexp.c_5732_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/207_xmlregexp.c_5732_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 208_xmlstring.c_878_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/208_xmlstring.c_878_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 209_libxml.c_351_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/209_libxml.c_351_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 209_tree.c_6095_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/209_tree.c_6095_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 210_libxml.c_287_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/210_libxml.c_287_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=1s)
[ERR] 210_xmlIO.c_3679_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/210_xmlIO.c_3679_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 211_libxml.c_289_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/211_libxml.c_289_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
